Tokens,Sentiment_score,Sentiment_emotion,Part_of_speech
"['💋', 'smile', 'more', 'your', 'energy', 'shifts']",1,Love,NOUN
"['how', 'is', 'it', 'that', 'i', 'am', 'still', 'breaking', '?', '💔']",-1,Sadness,NOUN
"['ipl', 'fever', '🤒']",-1,Sadness,ADJ
"['ples', 'i', 'wanna', 'eat', 'jollibee', 'and', 'biggs', 'na', '😭']",-1,Sadness,VERB
"['the', 'message', 'is', 'clear', ':', ""let's"", 'forgive', 'racist', 'cops', '!', '😂']",1,Joy,VERB
"['i', '’', 've', 'got', 'something', 'to', 'tell', 'you', ',', 'i', '’', 'm', 'obsessed', 'with', 'this', 'song', '💜']",1,Love,ADJ
"['thank', 'you', ',', 'i', 'love', 'you', 'too', '!', '💛']",1,Love,ADJ
"['what', 'my', 'dad', 'says', 'after', 'my', 'perfect', 'dumplings', '😄']",1,Joy,VERB
"['come', 'on', '!', 'join', 'support', '!', '♥', '63214edwqt62']",1,Love,NOUN
"['quicc', 'sketch', '🎭']",0,Surprise,NOUN
"['just', 'consider', 'it', 'a', 'nice', 'surprise', 'for', 'the', 'person', 'receiving', 'the', 'email', '.', '😂']",1,Joy,VERB
"['mmmm', 'very', 'sexy', '😉']",1,Joy,ADJ
"['wanted', 'to', 'go', 'down', '2', 'clothes', 'sizes', '&', 'i', 'think', 'im', 'down', '1', '!', 'ordered', 'new', 'stuff', '1', 'size', 'down', '&', 'it', 'all', 'fits', 'nice', 'so', 'ima', 'go', 'with', 'it', '🙂']",1,Joy,ADJ
"['i', 'heard', 'the', 'new', 'deltas', 'will', 'be', 'making', 'an', 'appearance', 'tomorrow', '👀']",0,Surprise,VERB
"['the', 'places', 'were', 'blue', 'skies', 'meet', 'blue', 'waters', 'are', 'always', 'something', 'special', '💙']",1,Love,ADJ
"['happy', 'born', 'day', 'to', 'one', 'of', 'my', 'first', 'crushes', 'who', 'brought', 'me', 'to', 'this', 'fandom', '💕']",1,Love,NOUN
"['youuuuu', 'know', 'you', 'can', '’', 't', 'get', 'over', 'me', '🗣']",0,Surprise,NOUN
"['lol', 'i', 'did', 'too', '😂']",1,Joy,VERB
"['happy', '6th', 'anniversary', 'i', 'will', 'take', 'national', 'exam', 'tomorrow', ',', 'wish', 'me', 'luck', 'eris', '!', '!', 'please', 'give', 'me', 'strength', '💪']",1,Joy,ADJ
"['see', 'you', 'in', 'february', '😭']",-1,Sadness,VERB
"['focus', 'on', 'me', '🖤']",1,Love,NOUN
"['well', 'i️m', 'going', 'to', 'vegas', 'in', 'friday', 'so', 'whatever', '.', '🙄']",-1,Disgust,ADJ
"['follow', 'everyone', 'who', 'retweets', 'this', '🌊', '>']",0,Surprise,NOUN
"[""byul's"", 'wish', 'to', 'meet', 'yunho', 'someday', ',', 'even', 'in', ""youtube's"", 'thumbnails', '😂']",1,Joy,VERB
"['all', 'free', 'tickets', '&', 'food', '🥘']",1,Joy,NOUN
"['i', 'miss', 'you', 'gf', '☹', '️']",-1,sadness,ADJ
"['i', ""can't"", 'go', 'to', 'sleep', 'without', 'talking', 'to', 'my', 'bf', '🙄']",-1,Disgust,ADJ
"['kwangmin', 'are', 'doing', 'the', 'posing', 'like', 'a', 'cool', 'man', 'again', '😅']",1,Joy,VERB
"['some', 'people', 'will', 'never', 'learn', '...', '🙄']",-1,Disgust,ADJ
"['collage', 'of', 'and', '☺', '.']",1,Joy,PUNCT
"['the', 'doctor', 'is', 'out', '...', 'fanboying', '.', 'achievement', 'unlocked', 'si', 'doc', '.', '😊']",1,Joy,ADJ
"['dark', 'days', '&', 'sleepless', 'nights', 'for', 'the', 'villain', 'of', '5th', 'ave', ',', 'lately', 'holed', 'up', 'at', '1600', 'penn', ',', 'dc', '..', 'only', '🦊', 'to', 'keep', 'him', 'co', '…']",0,Surprise,NOUN
"[""we're"", 'here', 'jamming', 'with', 'for', '🎶']",1,Joy,NOUN
"['i', 'am', 'in', 'the', 'clouds', '.', '🌥', 'my', 'sincerest', 'gratitude', 'to', 'and', 'for', 'granting', 'me', 'this', 'opportunity', 'to', 'work', 'with', '…']",1,Joy,NOUN
"['i', '’', 'm', 'big', 'bored', '😩']",-1,Sadness,ADJ
"['found', 'our', 'next', 'workout', '🤣']",1,Joy,VERB
"['rare', 'picture', 'of', 'modi', 'ji', ',', 'not', 'looking', 'at', 'camera', '.', '🙏', '[', '2018', ']']",-1,Anger,VERB
"['we', 'need', 'to', 'appreciate', 'the', 'armys', 'like', 'this', 'who', 'go', 'above', 'and', 'beyond', 'for', 'us', 'to', 'enjoy', 'bts', 'in', 'all', 'kinds', 'of', 'ways', '💕']",1,Love,NOUN
"['and', ""doesn't"", 'look', 'like', 'you', '.', 'pine', 'however', '...', '😜']",1,Joy,ADJ
"['trust', 'him', 'bcs', 'he', 'is', 'the', 'best', 'planner', '❤']",1,Love,VERB
"['always', 'me', '💞']",1,Love,NOUN
"['he', 'is', 'in', 'my', 'book', '🤣']",1,Joy,VERB
"['boo', 'bish', '!', '!', '!', 'did', 'you', 'scream', '?', '😜', '(', 'on', 'a', 'serious', 'note', ':', 'the', 'fact', 'that', 'i', 'scare', 'you', 'is', 'precisely', 'why', 'you', 'fools', 'don', '’', 't', 'need', 'guns', ')', 'htt', '…']",1,Joy,VERB
"['‘', 'some', '’', 'of', 'the', 'shoulders', 'because', 'we', 'know', '🌚']",0,Surprise,NOUN
"['i', 'gotta', 'get', 'my', 'nose', 're', 'pierced', 'before', 'kalahari', '😏']",1,Joy,ADJ
"['let', 'it', 'go', 'k', '.', 'she', ""didn't"", 'mean', 'to', 'hurt', 'u', 'bro', '❤']",1,Love,VERB
"['""', 'i', 'told', 'hoddle', 'where', 'to', 'shove', 'england', 'b', '!', '""', '😡', '""', 'he', 'said', ""i'd"", 'never', 'play', 'for', 'england', 'again', '...', 'he', 'was', 'quite', 'right', '!', '""']",-1,Anger,ADJ
"['by', 'this', 'clip', 'it', 'looks', 'like', 'i', 'just', 'won', 'the', 'championship', '.', '😂', 'i', 'am', 'just', 'so', 'excited', 'to', 'get', 'that', 'one', 'done', 'after', 'crashing', 'out', 'of', '…']",1,Joy,VERB
"['not', 'da', 'type', 'nigga', 'u', 'can', 'just', 'play', 'wit', '💯']",1,Joy,ADJ
"['familiar', 'misery', 'vs', 'foreign', 'happiness', '🤔']",-1,Disgust,ADJ
"['so', 'you', 'waste', 'your', 'thoke', 'on', 'a', 'nigga', 'you', 'don', '’', 't', 'like', '...', '😒']",-1,Disgust,ADJ
"['yeah', 'she', 'definitely', 'is', 'lol', '💙']",1,Love,ADJ
"['best', 'european', 'camgirl', '!', '❤', '️', 'x']",1,Love,VERB
"['what', 'kind', 'of', 'mood', 'is', 'this', '?', '😂']",1,Joy,VERB
"['no', 'words', '...', 'but', 'bloody', 'good', 'legs', '!', '🤠', ""l'artiste"", '!']",1,Joy,ADJ
"['molly', 'clearly', 'finds', 'a', 'job', ',', 'medical', 'insurance', ',', '&', '401k', 'attractive', '😂', 'i', ""can't"", 'with', 'her']",1,Joy,VERB
"['yeah', 'power', '!', '!', '💕']",1,Love,NOUN
"['my', 'son', 'gone', 'boo', 'boo', 'then', 'fall', 'asleep', '😐']",0,Surprise,ADJ
"['anyone', 'who', 'has', 'followed', 'you', 'more', 'than', 'a', 'few', 'months', 'knows', 'this', 'is', 'just', 'how', 'you', 'roll', '.', '🤣']",1,Joy,VERB
"['absolutely', 'hilarious', 'nooresh', '👍']",1,Joy,ADJ
"['soooo', 'deadline', 'ends', 'today', '.', ""i'm"", 'so', 'happy', 'about', 'starting', 'this', 'one', '.', 'this', 'is', 'sab', 'from', 'avocat', '❤', '️']",1,Love,VERB
"['speak', 'it', 'into', 'existence', '🗣']",1,Joy,NOUN
"['""', ""it's"", 'thanks', 'to', ""i'm"", 'here', '.', '""', '💕']",1,Love,PUNCT
"[""i'm"", 'voting', 'for', 'for', 'the', '💕']",1,Love,NOUN
"['judging', 'myself', '😩']",-1,Sadness,VERB
"['where', 'are', 'you', 'all', '?', '👀', 'you', 'were', 'doing', 'an', 'amazing', 'job', 'this', 'week', ',', 'let', '’', 's', 'keep', 'going', '!', 'send', 'us', 'screenshots', 'of', 'your', 'streams', '(', 'spo', '…']",0,Surprise,VERB
"['and', 'obama', 'is', 'now', 'doing', 'the', 'same', '..', 'his', 'own', 'obama', 'foundation', '😎']",1,Joy,ADJ
"['no', '🍆', 'is', 'bigger', 'than', 'a', ""baby's"", 'head', 'so', 'stop', 'screaming', 'during', 'sex', 'its', 'childish', '!', '!', '!']",-1,Disgust,NOUN
"['lmfaoooo', 'ik', 'thats', 'what', 'make', 'it', 'so', 'damn', 'funny', '😂']",1,Joy,VERB
"['happy', 'april', 'the', '1st', '🙄']",-1,Disgust,ADJ
"['we', 'did', 'it', '👊', 'thanks', 'for', 'shaking', 'up', 'dubai', 'with', 'so', 'much', 'love', 'and', 'postive', 'energy', '!', 'congrats', 'to']",1,Joy,ADJ
"['having', 'me', 'shoot', 'a', 'vikings', 'tribute', 'freeverse', 'video', 'beforehand', 'and', 'drop', 'that', 'ish', 'last', 'night', '😑']",-1,Disgust,ADJ
"['miss', 'you', 'alreadyyyyy', '😘']",1,Love,VERB
"['""', 'exclusive', '""', '😂', 'and', 'and', 'same', 'photo', 'you', 'used', 'but', '…']",1,Joy,VERB
"['would', 'be', 'more', 'excited', 'if', 'pikachu', 'will', 'be', 'standing', 'on', 'a', 'surfboard', '🤣']",1,Joy,VERB
"['a', 'very', 'special', 'of', 'the', 'kind', '~', '♥', '️']",1,Love,NOUN
"['headed', '🏠', 'to', 'on', 'saturday', '.', 'nyk', '101', 'phi', '118', '22p', '|', '8r', '22p', '|', '4r', '18p', '|', '6', '…']",1,Joy,NOUN
"['lmao', 'kfans', 'are', 'saying', 'they', 'cant', 'even', 'chant', 'the', 'members', ""'"", 'names', 'right', 'on', 'time', 'during', 'touch', 'what', 'more', 'for', 'black', 'on', 'black', '😂']",1,Joy,VERB
"[""i'm"", 'so', 'proud', 'of', 'you', '❤', '️']",1,Love,VERB
"['well', 'won', 'for', '""', 'insecure', '""', 'in', 'our', 'heart', '💕']",1,Love,NOUN
"['thank', 'you', 'so', 'much', 'for', 'today', ',', ""mcdonald's"", 'mayapa', 'naman', 'tomorrow', '!', '❤']",1,Love,VERB
"['the', 'only', 'way', '💫']",1,Joy,NOUN
"['muhammad', 'nawaz', '>', '>', '>', 'imad', 'wasim', 'all', 'day', 'everyday', '😴']",-1,Sadness,ADJ
"['it', '’', 's', 'ok', 'u', 'can', 'say', 'something', 'about', '619', 'i', '’', 'll', 'take', 'it', '😢']",-1,Sadness,ADJ
"['good', 'man', 'rory', '👍']",1,Joy,ADJ
"['that', '’', 's', 'the', 'title', '.', '😂']",1,Joy,VERB
"['this', 'day', 'and', 'week', '.', '🏆']",1,Joy,NOUN
"['i', 'wish', 'i', 'was', 'thick', 'but', 'whatever', ',', 'hey', 'y', '’', 'all', '😂']",1,Joy,VERB
"['vote', 'for', 'us', '🤩']",1,Joy,VERB
"['by', 'your', 'side', '🌻']",1,Love,NOUN
"['i', '’', 'm', 'chilling', '😇']",1,Joy,ADJ
"['this', 'wheelchair', 'ramp', '.', '😤']",-1,Anger,ADJ
"['thank', 'you', 'for', 'memory', 'like', 'these', '❤', '️', 'we', 'love', 'you', 'dhoni']",1,Love,VERB
"['good', 'morning', 'everyone', '😃']",1,Joy,ADJ
"['🙄', 'annoyed']",-1,Disgust,ADJ
"['i', 'probably', 'would', '’', 've', 'ended', 'up', 'twerking', 'hitting', 'that', 'split', '😂']",1,Joy,VERB
"['oh', 'no', '!', 'i', 'hope', 'not', '!', '😱', 'from', 'what', 'i', 'hear', 'the', 'bach', 'is', 'going', 'to', 'be', 'crazy', 'tomorrow', 'night', '!']",-1,Fear,ADJ
"['please', 'increase', 'the', 'window', '.', '😂']",1,Joy,VERB
"['in', 'my', 'opinion', ',', 'magna', 'carta', 'production', 'is', 'heavily', 'underappreciated', '🧐']",0,Surprise,ADJ
"['vic', 'just', 'called', 'me', 'aggressive', '😤']",-1,Anger,ADJ
"['invest', 'in', 'your', 'dreams', '❗', '️it', 'took', 'me', 'a', 'while', 'to', 'grasp', 'that', 'concept']",0,Surprise,PUNCT
"['flight', 'log', ':', 'trilogy', 'era', 'and', '7for7', 'era', '.', 'i', 'cant', 'choose', '.', '😅']",1,Joy,ADJ
"[""i'm"", 'so', 'excited', ',', 'you', 'can', 'listen', 'to', 'my', 'new', 'single', 'with', '&', 'exclusive', 'on', 'joox', 'right', 'now', '!', '🙈', 'let', 'me', 'know', 'wh', '…']",1,Joy,ADJ
"['mythic', ':', 'huddersfield', '7/7', '😂']",1,Joy,VERB
"['he', 'always', 'said', 'that', 'exo', 'always', 'lipsync', '🔫', '.']",-1,Anger,NOUN
"['😘', 'the', 'mo', '…']",1,Love,ADJ
"['thanks', 'for', 'keeping', 'everyone', 'updated', '.', 'it', '’', 's', 'greatly', 'appreciated', '😀']",1,Joy,ADJ
"['only', 'shit', 'thing', 'about', 'this', 'weather', 'is', 'flying', 'insects', '😷']",-1,disgust,ADJ
"['this', 'is', 'such', 'cute', 'and', 'delightful', 'picture', 'of', 'sharan', 'mam', 'and', 'from', 'the', 'last', 'night', 'shoot', '❤', '️', 'credit', '…']",1,Love,VERB
"['thank', 'you', 'harryrubez', 'for', 'the', '3000', 'token', 'offline', 'tip', '💚']",1,Love,ADJ
"['bol', 'just', 'yammed', 'on', 'brodie', '’', 's', 'face', '😵']",-1,Fear,NOUN
"['yasssss', '!', 'i', '’', 'm', 'also', 'mad', 'that', 'you', 'just', 'got', 'it', '😂']",1,Joy,VERB
"['these', 'are', 'for', 'you', '😘']",1,Love,VERB
"['only', 'outrageous', 'on', 'twitter', ""'"", 'the', 'land', 'of', 'make', 'believe', ""'"", '😂']",1,Joy,VERB
"['morninggg', '.', 'take', 'careee', '💜']",1,Love,ADJ
"['forest', '🌳', 'end', '...']",1,Joy,NOUN
"['peek', 'a', 'boo', 'from', 'yoongi', 'baby', '😝']",1,Joy,VERB
"['you', 'can', 'still', 'do', 'it', ',', 'shift', 'ho', 'jao', 'pakistan', '👍']",1,Joy,ADJ
"[""you're"", 'so', 'pretty', '!', '😍']",1,Love,ADJ
"['showing', 'her', 'beautiful', 'pair', '😍']",1,Love,VERB
"['army', '!', '!', 'face', 'yourself', 'is', 'finally', 'out', '!', '!', '!', 'seems', 'like', 'ages', 'ago', 'we', 'only', 'had', ""don't"", 'leave', 'me', 'teaser', 'on', 'loop', 'for', '1h', '😂', '…']",1,Joy,VERB
"['just', 'posted', 'a', '4.00', 'mi', 'run', '-', '👌']",1,Joy,ADJ
"['serena', 'escorting', 'mikey', 'from', 'her', 'office', 'by', 'the', 'back', 'of', 'his', 'neck', 'after', 'his', 'questions', 'abt', 'bernie', 'tho', 'hahahahaha', 'gay', 'panic', '™', '️', 'a', '…']",1,Joy,NOUN
"['everyone', 'is', 'getting', 'married', 'and', 'i', '’', 'm', 'over', 'here', 'stressing', 'about', 'what', 'rims', 'i', 'want', 'for', 'my', 'truck', '😅']",0,Surprise,ADJ
"['better', 'not', 'be', '😒']",-1,Disgust,ADJ
"['no', 'doubt', '...', '😕']",-1,Confusion,ADJ
"['i', 'love', 'my', 'queen', '💓']",1,Love,NOUN
"['47', '.', 'she', 'called', 'this', 'a', 'milly', 'pebble', '💀']",-1,Fear,NOUN
"['ive', 'looked', 'at', '100s', 'of', 'photos', 'of', 'nails', 'for', 'my', 'wedding', 'and', 'still', 'can', '’', 't', 'decide', 'how', 'to', 'do', 'them', '🙄']",-1,Disgust,ADJ
"['it', 'feel', 'like', 'toes', 'out', 'hoes', 'out', 'right', 'now', '😀']",1,Joy,VERB
"['only', 'thing', 'making', 'coming', 'home', 'easier', 'is', 'my', 'own', 'bed', ',', 'gcl', 'race', 'night', 'with', 'the', 'best', 'folk', 'and', 'easter', 'sunday', 'paps', '😎']",1,Joy,ADJ
"['that', '’', 's', 'one', 'sunday', 'i', '’', 'd', 'enjoy', ',', 'looking', 'at', 'your', 'beautifulness', '❤', '️']",1,Love,VERB
"['the', 'first', 'path', 'of', 'the', 'stars', 'crowd', 'unlock', 'is', 'live', '-', 'a', 'piece', 'of', 'a', 'larger', 'mystery', '!', '🔍', 'play', 'the', 'puzzle', 'at', '…']",0,Surprise,NOUN
"['graduating', 'today', '🎓']",1,Joy,NOUN
"['duh', 'otut', '💕']",1,Love,NOUN
"['help', 'me', 'welcome', 'my', 'boy', '‼', '️']",0,Surprise,PUNCT
"['aw', ',', 'thanks', 'so', 'much', 'for', 'the', 'support', '🌹']",1,Love,NOUN
"['can', 'someone', 'invent', 'a', 'teleportation', 'device', 'already', 'i', '’', 'm', 'tryna', 'teleport', 'myself', 'to', 'cpt', 'rn', '💔']",-1,Sadness,NOUN
"['y', '’', 'all', 'think', 'i', 'smoke', 'dese', 'blunts', 'to', 'get', 'high', '?', 'nah', 'it', '’', 's', 'pain', 'behind', 'these', 'ls', '😤']",-1,Anger,ADJ
"['rt', 'if', 'you', 'want', 'louis', 'to', 'drop', '""', 'always', 'you', '""', '😎']",1,Joy,ADJ
"['☺', 'we', 'will', 'be', 'blamed', 'as', 'usual', '.']",0,Surprise,ADJ
"['33', '?', '?', '?', 'omg', '😍', 'black', 'do', 'not', 'crack', 'y', '’', 'all']",1,Love,ADJ
"['isn', '’', 't', 'it', 'the', 'right', 'time', 'to', 'follow', 'some', 'fans', '?', '👀']",0,Surprise,VERB
"['dead', 'ass', 'didn', '’', 't', 'even', 'think', 'about', 'this', '😭']",-1,Sadness,VERB
"['my', 'estimate', ';', '200', 'million', '!', 'wanna', 'bet', '?', '😃']",1,Joy,ADJ
"['i', '’', 'm', 'so', 'proud', 'of', 'myself', '.', 'officially', 'a', 'shift', 'supervisor', '🤑']",1,Joy,ADJ
"['when', 'you', ""can't"", 'sleep', 'because', 'of', 'a', 'crazy', 'idea', '...', '🤪', 'it', 'may', 'seem', 'very', 'hard', 'to', 'do', ',', 'but', 'not', 'doing', 'anything', 'makes', 'it', 'mor', '…']",1,Joy,VERB
"['🙃', 'ladies', 'and', 'gentleman', 'we', 'have', 'lift', 'off', '(', '60', 'photos', ')']",1,Joy,ADJ
"['glad', 'your', 'woke', '🙂']",1,Joy,ADJ
"['im', 'here', 'wanting', 'to', 'buy', 'albums', 'but', 'why', 'arent', 'ppl', 'replying', 'me', 'on', 'carousell', '!', '!', '!', 'worse', 'thing', 'is', 'that', 'they', '’', 're', 'online', 'for', 'hours', '🙄']",-1,Disgust,ADJ
"['shabbat', 'shalom', 'i', 'hope', 'everyone', 'has', 'blessed', '🙏', 'and', 'wonderful', 'weekend', '.', 'much', 'love', 'to', 'all', '.']",1,Love,VERB
"['blurred', 'lines', '🍺']",1,Joy,NOUN
"['microsoft', 'adds', 'support', 'for', 'equations', 'in', 'word', 'app', 'for', 'android', 'devices', '-', '🚀', 'grow', 'y', '…']",1,Joy,PROPN
"['i', 'just', 'want', 'to', 'say', 'congratulations', 'for', 'both', 'men', 'and', ""women's"", 'volleyball', 'team', 'of', 'c', 'raymundo', 'for', 'winning', '😭', 'and', 'also', 'having', '…']",-1,Sadness,VERB
"['it', 'feels', 'great', 'to', 'be', 'loved', 'f', '/', 'bein', 'myself', '!', 'the', 'best', 'feeling', 'in', 'the', 'whole', 'wide', '🌎', '.', ""i'm"", 'glad', 'i', 'distanced', 'myself', 'from', 'ne', '…']",1,Love,NOUN
"['fuckin', 'love', 'my', 'girl', 'ughhjajwjakc', '🙊']",1,Joy,NOUN
"['awww', '💕', 'i', '’', 'm', 'a', 'grandma', 'so', 'i', 'showered', '&', 'meal', 'prepped', '&', 'i', '’', 've', 'been', 'in', 'bed', 'for', 'the', 'past', 'like', 'hour', 'thinking', 'abo', '…']",1,Love,NOUN
"['i', 'wanna', 'do', 'that', 'one', 'day', 'and', 'get', 'all', 'the', 'games', 'i', 'played', 'when', 'i', 'was', 'younger', '.', 'now', ""i've"", 'just', 'resorted', 'to', 'emulators', '😜']",1,Joy,VERB
"['lmao', 'naw', 'them', 'bonuses', 'be', 'clutch', 'tho', '😂', 'i', 'love', 'my', 'job']",1,Joy,VERB
"['$', '🤣', 'retweet', 'if', 'you', 'follow', 'back', 'and', 'follow', 'everyone', 'who', 'like', 'or', 'retweets', 'this', 'be', 'the', 'part', 'of', 'family', 'by', '…']",1,Joy,VERB
"['never', 'underestimate', 'the', 'power', 'of', 'a', 'good', 'playlist', '🎧']",1,Joy,NOUN
"['someone', 'send', 'me', 'sum', 'pizza', '(', 'to', 'be', 'specific', 'yellow', 'cab', '😪', ')']",-1,Sadness,ADJ
"['who', 'got', 'xfinity', 'account', 'i', 'can', 'use', '🤣']",1,Joy,VERB
"['ahhhh', 'beyond', 'thankful', 'for', 'everything', '.', 'thank', 'you', ',', 'g', '✨']",1,Joy,NOUN
"['""', 'here', 'i', 'am', 'the', 'one', 'that', 'you', 'love', ',', 'asking', 'for', 'another', 'day', '.', 'understand', ',', 'the', 'one', 'that', 'you', 'love', ',', 'loves', 'you', 'in', 'so', 'many', 'ways', '.', '""', '💕', '…']",1,Love,NOUN
"['it', '’', 's', 'almost', 'the', 'weekend', '😁']",1,Joy,ADJ
"['so', 'glad', 'you', 'love', 'our', 'show', '!', 'keep', 'the', 'love', 'coming', '❤', '️']",1,Love,VERB
"['this', 'is', 'the', 'life', 'on', 'mars', '⬆']",0,Surprise,ADP
"['wanted', 'to', 'flex', 'w', 'you', 'now', 'i', 'have', 'to', 'flex', 'on', 'you', '🤪']",1,Joy,VERB
"['nikki', 'and', 'brie', 'vs', 'sasha', 'and', 'bayley', 'vs', 'alexa', 'and', 'nia', '!', 'i', 'think', 'yes', '🤣']",1,Joy,VERB
"['📢', 'seulgi', '&', 'wendy', 'to', 'make', 'guest', 'appearance', 'on', 'olive', 'tv', 'show', ""'"", 'talk', 'moon', ""'"", '.', 'they', 'planned', 'recording', 'on', 'feb', '12', '.']",0,Surprise,NOUN
"['i', 'love', 'yoooou', '💜']",1,Love,ADJ
